sample_index,question,relevant_source_row,retrieved_ids,hit_rate@3,mrr@3,precision@3,recall@3,ndcg@3,hit_rate@5,mrr@5,precision@5,recall@5,ndcg@5,hit_rate@10,mrr@10,precision@10,recall@10,ndcg@10
15,Why are you deactivating my account?,175,"['qa_175_3', 'qa_175_2', 'qa_175_0', 'qa_5_1', 'qa_108_1', 'qa_203_0', 'qa_5_0', 'qa_108_0', 'qa_716_0', 'qa_442_0']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.3,1.0,1.0
16,What is the status of my order (BB987654321) for a BP monitor?,187,"['qa_754_0', 'qa_187_0', 'qa_278_0', 'qa_414_3', 'qa_283_1', 'qa_443_0', 'qa_806_0', 'qa_331_0', 'qa_414_0', 'qa_335_0']",1.0,0.5,0.3333333333333333,1.0,0.6309297535714575,1.0,0.5,0.2,1.0,0.6309297535714575,1.0,0.5,0.1,1.0,0.6309297535714575
17,"I have a monitor from BrownBox with issues in displaying correct colors and producing a blurry image, and I want to return it for a replacement.",220,"['qa_220_0', 'qa_789_1', 'qa_879_0', 'qa_789_0', 'qa_840_0', 'qa_522_0', 'qa_554_0', 'qa_582_0', 'qa_717_0', 'qa_473_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
18,How can I return a backpack and get a replacement?,281,"['qa_281_0', 'qa_979_1', 'qa_256_1', 'qa_628_0', 'qa_256_0', 'qa_628_1', 'qa_297_0', 'qa_143_2', 'qa_357_1', 'qa_979_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
19,Why is there a return fee?,284,"['qa_284_1', 'qa_540_1', 'qa_888_1', 'qa_647_3', 'qa_647_1', 'qa_828_1', 'qa_429_1', 'qa_58_1', 'qa_734_1', 'qa_524_1']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
20,I would like to return a T-Shirt I bought from your website because it doesn't fit me.,329,"['qa_329_0', 'qa_856_0', 'qa_911_1', 'qa_517_0', 'qa_923_0', 'qa_706_0', 'qa_689_0', 'qa_911_0', 'qa_109_1', 'qa_486_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
21,What warranty terms should I follow for the Bp Monitor I purchased from BrownBox's website?,335,"['qa_335_0', 'qa_443_0', 'qa_798_0', 'qa_522_0', 'qa_502_0', 'qa_902_0', 'qa_717_0', 'qa_840_0', 'qa_938_0', 'qa_879_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
22,"I'm having trouble accessing my account, I lost my phone and forgot my password. Can you help me?",349,"['qa_349_0', 'qa_778_0', 'qa_375_0', 'qa_188_0', 'qa_349_1', 'qa_656_3', 'qa_70_1', 'qa_907_1', 'qa_745_0', 'qa_825_2']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2,1.0,1.0
23,Can you tell me how to track my order?,359,"['qa_359_3', 'qa_893_2', 'qa_739_0', 'qa_4_1', 'qa_471_2', 'qa_661_2', 'qa_516_1', 'qa_687_1', 'qa_775_0', 'qa_882_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
24,I need to cancel my order for a sweatshirt,367,"['qa_367_0', 'qa_664_3', 'qa_486_0', 'qa_666_0', 'qa_911_1', 'qa_191_0', 'qa_766_0', 'qa_706_0', 'qa_278_1', 'qa_516_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
25,How secure is the debit card payment gateway?,373,"['qa_373_1', 'qa_65_1', 'qa_643_6', 'qa_689_5', 'qa_445_1', 'qa_249_1', 'qa_768_1', 'qa_643_5', 'qa_808_2', 'qa_108_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
26,Why isn't my DSLR camera order qualifying for free delivery?,401,"['qa_401_0', 'qa_618_0', 'qa_672_0', 'qa_851_0', 'qa_464_0', 'qa_343_3', 'qa_849_0', 'qa_819_0', 'qa_343_1', 'qa_657_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
27,I recently ordered a backpack from BrownBox and was wondering if there are any faster delivery options available?,451,"['qa_451_0', 'qa_337_0', 'qa_527_0', 'qa_752_0', 'qa_39_1', 'qa_76_0', 'qa_600_0', 'qa_751_0', 'qa_307_0', 'qa_76_1']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
28,Does the warranty start from the date of installation or purchase?,452,"['qa_452_1', 'qa_613_0', 'qa_704_0', 'qa_66_0', 'qa_523_0', 'qa_237_0', 'qa_500_2', 'qa_19_0', 'qa_956_0', 'qa_452_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.2,1.0,1.0
29,I would like to return an inverter that I received from BrownBox and get a replacement because it's not working correctly.,559,"['qa_559_0', 'qa_282_0', 'qa_540_0', 'qa_662_1', 'qa_662_0', 'qa_558_0', 'qa_457_0', 'qa_270_0', 'qa_493_0', 'qa_295_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
30,Do I need to return the freebies that came with the Induction Cooktop in the original packaging?,583,"['qa_583_1', 'qa_961_0', 'qa_348_0', 'qa_688_0', 'qa_712_1', 'qa_583_0', 'qa_712_0', 'qa_277_0', 'qa_426_0', 'qa_277_1']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.2,1.0,1.0
31,How can I verify my mobile number and email address on your website?,590,"['qa_590_0', 'qa_884_1', 'qa_332_1', 'qa_931_1', 'qa_224_1', 'qa_157_1', 'qa_537_1', 'qa_352_2', 'qa_914_2', 'qa_843_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
32,How to ship the item back to BrownBox?,652,"['qa_652_1', 'qa_378_1', 'qa_652_0', 'qa_37_1', 'qa_979_0', 'qa_832_0', 'qa_979_1', 'qa_37_0', 'qa_384_1', 'qa_960_2']",1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2,1.0,1.0
33,Can I return a faulty BP monitor and get a refund?,655,"['qa_655_0', 'qa_414_0', 'qa_902_1', 'qa_840_0', 'qa_43_0', 'qa_291_0', 'qa_283_1', 'qa_902_0', 'qa_717_0', 'qa_806_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
34,Can you help me with the order placement process for a 55-inch LED TV from Samsung?,729,"['qa_729_0', 'qa_372_0', 'qa_719_1', 'qa_463_0', 'qa_168_0', 'qa_678_0', 'qa_920_1', 'qa_953_1', 'qa_834_0', 'qa_128_5']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
35,Why can't I make a purchase after creating an account on BrownBox's website?,777,"['qa_777_2', 'qa_614_0', 'qa_777_0', 'qa_727_1', 'qa_364_1', 'qa_388_1', 'qa_445_0', 'qa_553_0', 'qa_777_1', 'qa_727_0']",1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.3,1.0,1.0
36,"I'm really frustrated, I received my hand blender yesterday, but it was delivered to the wrong address and I don't know what to do",803,"['qa_803_0', 'qa_507_2', 'qa_705_0', 'qa_178_0', 'qa_313_0', 'qa_377_0', 'qa_155_0', 'qa_507_0', 'qa_169_0', 'qa_366_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
37,How can I order a smartwatch with BrownBox if the product is not available for shipping to my location?,859,"['qa_859_0', 'qa_888_0', 'qa_221_0', 'qa_652_1', 'qa_579_0', 'qa_769_0', 'qa_232_0', 'qa_337_1', 'qa_948_0', 'qa_960_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
38,What is the return policy for the ceiling fan I ordered?,897,"['qa_897_0', 'qa_852_1', 'qa_762_0', 'qa_195_0', 'qa_392_0', 'qa_852_0', 'qa_24_1', 'qa_135_4', 'qa_469_0', 'qa_617_3']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0
39,Why was the repair request for the food processor denied?,943,"['qa_943_1', 'qa_433_1', 'qa_108_2', 'qa_943_0', 'qa_433_0', 'qa_137_0', 'qa_176_0', 'qa_108_3', 'qa_734_0', 'qa_13_0']",1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2,1.0,1.0
40,Where can I find the warranty details for my BrownBox Electric Kettle?,969,"['qa_969_0', 'qa_969_1', 'qa_623_0', 'qa_623_1', 'qa_581_0', 'qa_830_0', 'qa_732_1', 'qa_171_0', 'qa_148_0', 'qa_765_0']",1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2,1.0,1.0
